likes,talking_about_count,created_at
401470,35323,2013-03-27 00:00:50 +0000
404379,35323,2013-03-28 00:00:25 +0000
407077,35323,2013-03-29 00:00:42 +0000
410302,32686,2013-03-30 00:00:40 +0000
413267,32686,2013-03-31 00:00:26 +0000
416504,29510,2013-04-01 00:00:21 +0000
420718,29510,2013-04-02 00:00:28 +0000
425984,29771,2013-04-03 00:00:24 +0000
431538,28046,2013-04-04 00:00:39 +0000
438211,28046,2013-04-05 00:00:26 +0000
443691,28442,2013-04-06 00:00:39 +0000
448168,33481,2013-04-07 00:00:22 +0000
452663,41060,2013-04-08 00:00:29 +0000
457238,43494,2013-04-09 00:00:42 +0000
461945,45408,2013-04-10 00:00:43 +0000
465595,46566,2013-04-11 00:00:26 +0000
466882,46566,2013-04-12 00:00:26 +0000
468072,46374,2013-04-13 00:00:42 +0000
469453,46374,2013-04-14 00:00:41 +0000
471337,41493,2013-04-15 00:00:27 +0000
473728,38729,2013-04-16 00:00:29 +0000
477194,34682,2013-04-17 00:00:23 +0000
479994,31651,2013-04-18 00:00:44 +0000
482169,31651,2013-04-19 00:00:18 +0000
483495,31651,2013-04-20 00:00:26 +0000
483687,31651,2013-04-21 00:00:23 +0000
483888,28546,2013-04-22 00:00:37 +0000
485431,20106,2013-04-23 00:00:36 +0000
488707,15896,2013-04-24 00:00:52 +0000
491937,15431,2013-04-25 00:00:50 +0000
497403,16415,2013-04-26 00:00:49 +0000
500709,17507,2013-04-27 00:01:16 +0000
503284,21330,2013-04-28 00:01:00 +0000
506168,23491,2013-04-29 00:01:11 +0000
510755,25896,2013-04-30 00:01:20 +0000
513567,25896,2013-05-01 00:01:00 +0000
515884,31677,2013-05-02 00:01:27 +0000
518016,29799,2013-05-03 00:01:16 +0000
520092,29799,2013-05-04 00:01:15 +0000
523217,28482,2013-05-05 00:01:08 +0000
526108,24723,2013-05-06 00:00:52 +0000
527619,25850,2013-05-07 00:01:21 +0000
528330,25850,2013-05-08 00:01:19 +0000
529264,25358,2013-05-09 00:01:07 +0000
530212,21995,2013-05-10 00:01:22 +0000
530883,21995,2013-05-11 00:00:51 +0000
531042,20850,2013-05-12 00:01:14 +0000
531196,19763,2013-05-13 00:01:17 +0000
531334,17302,2013-05-14 00:01:15 +0000
531470,17302,2013-05-15 00:01:05 +0000
531554,11158,2013-05-16 00:01:15 +0000
531609,10273,2013-05-17 00:01:03 +0000
531763,10273,2013-05-18 00:01:13 +0000
531897,10273,2013-05-19 00:00:59 +0000
